CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0.6,1.52,-1.1,0.87,-0.0,0.69,0.81,0.65,0.97,-0.57,No
1.15,-0.9,0.91,-0.47,-0.0,0.94,-0.91,0.65,-1.03,1.3,No
-0.33,0.31,0.91,-1.04,-0.35,0.76,-0.91,0.65,0.97,-0.17,Yes
-1.02,-0.9,-1.1,-0.18,-0.7,1.14,-0.91,0.65,-1.03,0.0,No
-0.28,0.31,0.91,0.1,1.38,0.2,-0.91,0.65,-1.03,-0.7,Yes
0.58,-0.9,-1.1,1.72,0.34,-1.23,-0.91,0.65,-1.03,0.02,Yes
-0.13,1.52,0.91,0.29,-0.35,-1.23,0.81,0.65,-1.03,1.16,No
1.29,-0.9,-1.1,0.2,-1.73,-1.23,0.81,0.65,0.97,-0.98,Yes
1.77,-0.9,-1.1,0.1,-0.7,0.44,0.81,0.65,-1.03,-0.75,No
-0.0,0.31,0.91,-0.95,-1.04,-0.53,-0.91,-1.55,-1.03,1.33,No
0.92,-0.9,-1.1,0.67,-0.35,0.72,4.25,0.65,-1.03,-1.01,Yes
1.54,-0.9,-1.1,1.25,0.34,-1.23,0.81,0.65,0.97,-1.65,No
-0.88,-0.9,0.91,-0.37,-1.39,1.37,0.81,-1.55,-1.03,-1.06,No
-2.04,-0.9,-1.1,-0.47,-0.0,1.19,-0.91,0.65,-1.03,0.82,No
-1.46,1.52,-1.1,-0.85,-0.35,-1.23,0.81,0.65,-1.03,1.61,No
-0.17,-0.9,-1.1,0.37,-0.0,-1.23,-0.91,-1.55,-1.03,1.16,Yes
-1.14,-0.9,0.91,-0.47,1.38,-1.23,0.81,0.65,-1.03,1.64,No
-0.29,-0.9,0.91,0.58,-0.0,1.1,0.81,0.65,-1.03,-0.72,Yes
1.13,-0.9,-1.1,3.34,-1.39,-1.23,0.81,0.65,0.97,-1.09,No
0.15,0.31,-1.1,-0.47,1.03,0.56,-0.91,-1.55,-1.03,-1.47,No
1.49,1.52,0.91,-0.37,-0.7,0.68,-0.91,0.65,0.97,-1.24,No
-0.37,-0.9,0.91,0.01,1.03,0.19,-0.91,0.65,0.97,0.42,No
1.47,1.52,-1.1,0.01,0.69,-1.23,-0.91,-1.55,-1.03,1.44,No
0.68,-0.9,-1.1,-0.85,-1.39,-1.23,0.81,0.65,-1.03,-1.67,No
-0.43,-0.9,-1.1,-0.28,1.03,0.61,-0.91,0.65,-1.03,-1.04,No
-0.41,0.31,-1.1,-1.23,1.03,0.92,-0.91,0.65,-1.03,-0.99,Yes
-0.38,-0.9,0.91,0.87,1.38,1.1,-0.91,0.65,-1.03,1.09,Yes
-0.87,-0.9,-1.1,0.58,0.69,1.58,2.53,0.65,-1.03,0.33,Yes
0.11,-0.9,0.91,-0.09,0.34,-1.23,0.81,-1.55,-1.03,0.75,No
0.49,0.31,-1.1,0.77,-0.0,0.69,-0.91,0.65,-1.03,1.24,Yes
-1.02,-0.9,0.91,-1.8,0.69,-1.23,0.81,-1.55,0.97,-1.19,No
0.47,0.31,-1.1,1.34,0.34,0.66,0.81,0.65,0.97,0.09,Yes
2.06,-0.9,-1.1,0.67,-0.7,-1.23,-0.91,0.65,-1.03,1.46,Yes
-0.89,1.52,-1.1,3.06,-1.39,-1.23,4.25,-1.55,0.97,1.45,Yes
