no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_canceled
0.3,4.71,0.22,-0.85,-0.49,-0.18,3.07,-0.79,0.47,-0.79,-1.44,0.66,-0.16,-0.06,-0.09,3.92,0.48,Yes
0.3,-0.26,1.37,1.27,0.46,-0.18,-0.51,0.25,0.47,0.19,-1.44,0.66,-0.16,-0.06,-0.09,0.78,0.48,Yes
2.23,-0.26,-0.93,-0.85,2.37,-0.18,-0.51,-0.98,0.47,0.19,-0.3,-0.81,-0.16,-0.06,-0.09,-0.19,0.48,No
0.3,-0.26,1.37,-0.14,-0.49,-0.18,-0.51,1.23,0.47,0.19,0.27,0.66,-0.16,-0.06,-0.09,-0.54,0.48,No
0.3,4.71,-0.93,-0.14,-0.49,-0.18,3.07,-0.91,0.47,-0.46,-1.1,0.66,-0.16,-0.06,-0.09,2.75,1.76,No
0.3,-0.26,3.66,2.69,2.37,-0.18,-0.51,-0.82,0.47,-1.44,1.08,-0.81,-0.16,-0.06,-0.09,-0.89,0.48,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,2.34,0.47,1.49,1.53,0.66,-0.16,-0.06,-0.09,-0.73,-0.79,Yes
2.23,-0.26,1.37,-0.14,-0.49,-0.18,1.64,0.02,0.47,1.16,-0.07,0.66,-0.16,-0.06,-0.09,0.44,0.48,Yes
0.3,-0.26,0.22,-1.56,-0.49,-0.18,-0.51,-0.57,-2.14,0.51,-0.41,0.66,-0.16,-0.06,-0.09,-0.25,-0.79,No
0.3,-0.26,1.37,1.98,-0.49,-0.18,-0.51,1.2,0.47,-0.14,-0.53,0.66,-0.16,-0.06,-0.09,-0.45,1.76,Yes
-1.63,-0.26,1.37,1.98,-0.49,-0.18,1.64,0.72,0.47,-0.14,-1.33,0.66,-0.16,-0.06,-0.09,1.23,-0.79,Yes
0.3,-0.26,0.22,1.27,-0.49,-0.18,-0.51,0.58,0.47,1.49,-1.21,0.66,-0.16,-0.06,-0.09,-0.43,0.48,No
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,1.64,-0.6,0.47,-1.12,-1.44,0.66,-0.16,-0.06,-0.09,0.4,0.48,No
2.23,-0.26,1.37,-0.85,0.46,-0.18,1.64,-0.46,0.47,1.49,1.42,0.66,-0.16,-0.06,-0.09,2.67,1.76,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,1.26,-2.14,0.51,0.39,0.66,-0.16,-0.06,-0.09,-0.4,-0.79,Yes
0.3,-0.26,-0.93,-0.85,-0.49,5.59,1.64,-0.95,0.47,1.16,0.85,-0.81,-0.16,-0.06,-0.09,0.11,-0.79,No
0.3,-0.26,0.22,0.56,-0.49,-0.18,-0.51,0.7,0.47,0.84,-1.56,0.66,-0.16,-0.06,-0.09,0.44,-0.79,No
2.23,-0.26,0.22,0.56,-0.49,-0.18,1.64,0.09,0.47,0.84,-0.87,0.66,-0.16,-0.06,-0.09,1.37,0.48,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,-0.44,0.47,-1.12,1.19,-0.81,-0.16,-0.06,-0.09,-0.52,-0.79,No
0.3,-0.26,0.22,0.56,2.37,-0.18,-0.51,1.0,0.47,0.19,-0.64,-0.81,-0.16,-0.06,-0.09,-1.12,-0.79,Yes
0.3,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,0.49,-2.14,1.49,0.73,-0.81,-0.16,-0.06,-0.09,-1.61,-0.79,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,3.47,0.47,0.84,-1.33,0.66,-0.16,-0.06,-0.09,0.33,-0.79,Yes
-1.63,-0.26,1.37,0.56,-0.49,-0.18,1.64,-0.98,-2.14,1.49,0.16,-0.81,6.16,-0.06,0.49,-1.23,-0.79,No
2.23,-0.26,-0.93,-0.85,-0.49,5.59,-0.51,-0.74,0.47,-1.12,0.16,0.66,-0.16,-0.06,-0.09,1.15,0.48,No
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.1,0.47,-1.12,-0.41,0.66,-0.16,-0.06,-0.09,-0.62,0.48,No
0.3,-0.26,-0.93,-0.14,2.37,-0.18,-0.51,-0.81,-2.14,0.51,-0.64,0.66,-0.16,-0.06,-0.09,-0.5,1.76,No
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.11,0.47,-0.79,-0.3,0.66,-0.16,-0.06,-0.09,-0.41,0.48,No
2.23,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,-0.93,0.47,-1.77,0.39,-0.81,-0.16,-0.06,-0.09,0.76,0.48,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,1.64,-0.53,0.47,-1.44,-1.33,0.66,-0.16,-0.06,-0.09,0.27,-0.79,Yes
2.23,-0.26,-0.93,0.56,-0.49,-0.18,1.64,0.65,0.47,0.19,1.3,-0.81,-0.16,-0.06,-0.09,0.92,-0.79,No
0.3,-0.26,0.22,0.56,-0.49,-0.18,-0.51,-0.15,0.47,-0.79,-1.56,0.66,-0.16,-0.06,-0.09,0.61,0.48,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,0.23,0.47,0.84,1.65,0.66,-0.16,-0.06,-0.09,-0.76,1.76,No
2.23,-0.26,0.22,-0.14,-0.49,-0.18,-0.51,-0.95,0.47,-2.09,0.27,-0.81,-0.16,-0.06,-0.09,-0.29,0.48,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,1.64,-0.96,-2.14,1.49,0.39,-0.81,-0.16,-0.06,-0.09,0.22,0.48,No
0.3,-0.26,1.37,-0.14,-0.49,-0.18,-0.51,0.73,0.47,0.51,0.27,0.66,-0.16,-0.06,-0.09,0.9,0.48,Yes
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,1.64,-0.42,-2.14,0.51,-0.07,0.66,-0.16,-0.06,-0.09,0.94,1.76,No
0.3,-0.26,1.37,-0.14,-0.49,-0.18,1.64,1.56,0.47,0.84,1.65,0.66,-0.16,-0.06,-0.09,-0.04,1.76,Yes
0.3,-0.26,-0.93,0.56,-0.49,-0.18,-0.51,1.24,0.47,0.19,1.19,0.66,-0.16,-0.06,-0.09,-0.2,0.48,Yes
0.3,-0.26,0.22,1.27,-0.49,-0.18,1.64,0.14,0.47,1.16,1.3,0.66,-0.16,-0.06,-0.09,0.02,-0.79,Yes
0.3,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,0.23,0.47,0.19,0.62,0.66,-0.16,-0.06,-0.09,0.87,0.48,No
0.3,-0.26,-0.93,1.27,-0.49,-0.18,-0.51,0.59,0.47,-1.44,0.96,0.66,-0.16,-0.06,-0.09,-0.42,-0.79,Yes
0.3,2.22,1.37,-0.14,-0.49,-0.18,-0.51,1.15,0.47,0.19,-0.3,0.66,-0.16,-0.06,-0.09,-0.49,-0.79,Yes
2.23,-0.26,-0.93,0.56,-0.49,-0.18,1.64,-0.23,0.47,0.19,-1.56,0.66,-0.16,-0.06,-0.09,1.93,1.76,No
0.3,4.71,-0.93,1.98,-0.49,-0.18,3.07,-0.38,0.47,0.84,1.19,0.66,-0.16,-0.06,-0.09,3.1,-0.79,No
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.54,0.47,-0.14,0.5,0.66,-0.16,-0.06,-0.09,0.12,-0.79,No
0.3,-0.26,1.37,3.4,2.37,-0.18,-0.51,0.02,0.47,1.16,1.08,0.66,-0.16,-0.06,-0.09,-0.83,0.48,Yes
0.3,-0.26,1.37,-0.14,-0.49,-0.18,0.21,1.29,0.47,0.84,1.65,0.66,-0.16,-0.06,-0.09,-0.47,-0.79,Yes
0.3,-0.26,1.37,-1.56,-0.49,-0.18,1.64,1.87,0.47,0.19,-0.98,0.66,-0.16,-0.06,-0.09,-0.35,-0.79,Yes
2.23,-0.26,1.37,-0.14,-0.49,-0.18,1.64,-0.34,0.47,0.19,0.05,0.66,-0.16,-0.06,-0.09,1.34,1.76,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,-0.15,0.47,-1.12,0.85,-0.81,-0.16,-0.06,-0.09,-0.28,-0.79,Yes
0.3,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.6,-2.14,0.51,-0.87,0.66,-0.16,-0.06,-0.09,-0.11,0.48,No
0.3,-0.26,0.22,-0.85,-0.49,-0.18,1.64,-0.64,0.47,-0.14,-0.87,0.66,-0.16,-0.06,-0.09,1.42,0.48,Yes
2.23,-0.26,1.37,-0.14,-0.49,-0.18,1.64,1.04,0.47,0.19,1.08,0.66,-0.16,-0.06,-0.09,0.98,-0.79,Yes
-1.63,-0.26,0.22,-0.85,-0.49,-0.18,-0.51,-0.92,0.47,-1.77,-0.87,0.66,-0.16,-0.06,-0.09,-0.5,-0.79,No
0.3,-0.26,0.22,0.56,0.46,-0.18,-0.51,2.1,0.47,-0.46,-0.87,-0.81,-0.16,-0.06,-0.09,0.47,-0.79,Yes
0.3,-0.26,-0.93,-0.85,2.37,-0.18,-0.51,-0.62,0.47,1.16,-0.64,0.66,-0.16,-0.06,-0.09,-0.69,-0.79,Yes
0.3,2.22,0.22,-0.85,-0.49,-0.18,-0.51,1.04,0.47,0.19,-1.21,0.66,-0.16,-0.06,-0.09,1.13,-0.79,Yes
0.3,-0.26,-0.93,1.27,-0.49,-0.18,1.64,0.18,0.47,-0.14,-0.87,0.66,-0.16,-0.06,-0.09,0.54,-0.79,Yes
0.3,-0.26,-0.93,-0.85,2.37,-0.18,-0.51,-0.88,0.47,1.49,0.73,0.66,-0.16,-0.06,-0.09,-0.38,-0.79,No
0.3,-0.26,0.22,-0.14,0.46,-0.18,-0.51,-0.1,-2.14,0.51,-0.53,-0.81,-0.16,-0.06,-0.09,-0.64,-0.79,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,3.07,-0.96,0.47,-1.77,1.42,0.66,-0.16,-0.06,-0.09,1.52,-0.79,Yes
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,-0.51,-0.81,-2.14,1.49,-1.67,0.66,-0.16,-0.06,-0.09,-0.31,1.76,No
2.23,-0.26,1.37,-0.85,2.37,-0.18,1.64,0.06,0.47,-0.79,-0.3,0.66,-0.16,-0.06,-0.09,1.03,-0.79,No
0.3,-0.26,0.22,-0.14,-0.49,-0.18,0.21,-0.07,0.47,-1.44,1.42,-0.81,-0.16,-0.06,-0.09,-1.25,-0.79,No
0.3,-0.26,0.22,-0.85,2.37,5.59,-0.51,-0.84,0.47,-0.79,-0.98,0.66,-0.16,-0.06,-0.09,-0.44,0.48,No
0.3,-0.26,-0.93,1.27,-0.49,-0.18,1.64,-0.6,0.47,1.49,-0.98,0.66,-0.16,-0.06,-0.09,-0.18,0.48,No
-1.63,-0.26,1.37,-0.85,2.37,-0.18,-0.51,-0.98,0.47,1.16,-1.1,0.66,-0.16,-0.06,-0.09,-0.93,-0.79,Yes
0.3,-0.26,1.37,-0.14,-0.49,-0.18,-0.51,-0.41,0.47,-0.79,-0.3,0.66,-0.16,-0.06,-0.09,-0.25,-0.79,No
0.3,-0.26,-0.93,0.56,-0.49,-0.18,1.64,0.85,0.47,1.16,-1.56,0.66,-0.16,-0.06,-0.09,0.44,-0.79,Yes
0.3,-0.26,1.37,-0.14,-0.49,-0.18,1.64,-0.39,0.47,-1.12,-0.41,-0.81,-0.16,-0.06,-0.09,-0.19,-0.79,No
0.3,-0.26,-0.93,-0.14,-0.49,-0.18,1.64,-0.25,0.47,-1.12,1.3,0.66,-0.16,-0.06,-0.09,1.17,0.48,No
0.3,-0.26,1.37,-0.14,-0.49,-0.18,1.64,-0.81,0.47,1.49,1.76,0.66,-0.16,-0.06,-0.09,0.68,-0.79,Yes
0.3,2.22,-0.93,-0.14,-0.49,-0.18,-0.51,-0.91,0.47,-0.46,-0.87,0.66,-0.16,-0.06,-0.09,0.71,0.48,Yes
0.3,-0.26,1.37,1.98,-0.49,-0.18,1.64,-0.38,0.47,-1.44,-1.44,0.66,-0.16,-0.06,-0.09,0.48,-0.79,Yes
0.3,-0.26,0.22,-0.14,0.46,-0.18,-0.51,3.5,0.47,1.49,0.96,0.66,-0.16,-0.06,-0.09,0.41,-0.79,Yes
0.3,-0.26,1.37,1.98,0.46,-0.18,1.64,-0.57,0.47,-1.44,0.5,0.66,-0.16,-0.06,-0.09,0.81,-0.79,Yes
0.3,-0.26,1.37,-0.14,-0.49,-0.18,-0.51,1.59,0.47,0.19,-1.1,0.66,-0.16,-0.06,-0.09,-0.11,-0.79,Yes
0.3,-0.26,0.22,0.56,-0.49,-0.18,1.64,-0.06,0.47,0.51,1.08,0.66,-0.16,-0.06,-0.09,1.33,0.48,Yes
0.3,-0.26,0.22,1.27,-0.49,-0.18,1.64,2.01,0.47,1.49,1.65,0.66,-0.16,-0.06,-0.09,0.13,1.76,Yes
-1.63,-0.26,0.22,-0.14,0.46,-0.18,2.35,0.18,0.47,0.84,1.53,-0.81,-0.16,-0.06,-0.09,0.03,-0.79,Yes
0.3,2.22,-0.93,0.56,-0.49,-0.18,0.21,1.02,0.47,0.19,-0.07,0.66,-0.16,-0.06,-0.09,1.71,1.76,Yes
-1.63,-0.26,-0.93,-0.85,-0.49,-0.18,-0.51,-0.85,-2.14,0.84,-0.53,0.66,-0.16,-0.06,-0.09,-1.09,-0.79,No
-1.63,-0.26,0.22,0.56,-0.49,-0.18,-0.51,1.53,0.47,0.51,-0.18,0.66,-0.16,-0.06,-0.09,-0.34,1.76,No
0.3,-0.26,1.37,-0.85,-0.49,-0.18,-0.51,-0.57,0.47,-1.12,-0.75,0.66,-0.16,-0.06,-0.09,-0.07,1.76,No
