no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_canceled
0.21,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,2.3,-2.38,0.85,-1.55,-1.0,-0.18,-0.07,-0.1,-1.07,-0.91,0
0.21,-0.31,1.26,0.49,2.16,-0.21,-0.59,-0.9,0.42,1.17,-1.1,0.48,-0.18,-0.07,-0.1,0.03,0.32,0
-1.68,-0.31,1.26,-0.83,-0.49,-0.21,-0.59,-0.95,0.42,-1.7,1.38,0.48,-0.18,-0.07,-0.1,-1.21,-0.91,1
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,2.11,0.42,-0.74,0.48,0.48,-0.18,-0.07,-0.1,-0.15,-0.91,1
0.21,-0.31,0.13,-0.83,2.16,-0.21,-0.59,-0.27,0.42,-1.06,-0.54,0.48,-0.18,-0.07,-0.1,-0.3,-0.91,1
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,4.07,0.42,0.53,-0.31,0.48,-0.18,-0.07,-0.1,0.25,0.32,1
0.21,-0.31,0.13,0.49,-0.49,-0.21,-0.59,-0.47,-2.38,0.85,-0.08,0.48,-0.18,-0.07,-0.1,0.05,0.32,0
0.21,-0.31,0.13,0.49,-0.49,-0.21,1.37,0.24,0.42,1.49,1.16,0.48,-0.18,-0.07,-0.1,-0.0,0.32,0
2.1,-0.31,-0.99,1.15,-0.49,-0.21,-0.59,0.8,0.42,-0.11,-1.1,-1.0,-0.18,-0.07,-0.1,-0.23,0.32,0
0.21,-0.31,-0.99,1.81,-0.49,-0.21,1.37,-0.33,0.42,0.85,0.25,0.48,-0.18,-0.07,-0.1,0.73,2.77,0
-1.68,-0.31,0.13,-1.5,2.16,-0.21,-0.59,-0.97,0.42,0.53,-0.54,0.48,-0.18,-0.07,-0.1,-0.55,-0.91,0
-1.68,-0.31,1.26,-0.83,-0.49,-0.21,1.37,-0.46,0.42,-1.06,1.61,0.48,-0.18,-0.07,-0.1,0.92,0.32,0
0.21,-0.31,1.26,-0.83,2.16,-0.21,-0.59,-0.53,0.42,1.17,1.16,0.48,-0.18,-0.07,-0.1,-0.47,-0.91,1
-1.68,-0.31,1.26,-1.5,-0.49,-0.21,-0.59,0.42,0.42,1.17,0.48,0.48,-0.18,-0.07,-0.1,-0.41,1.54,1
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.28,-2.38,0.85,0.48,0.48,-0.18,-0.07,-0.1,-0.3,1.54,0
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,2.76,0.42,-0.42,-0.08,0.48,-0.18,-0.07,-0.1,0.25,0.32,1
-1.68,-0.31,0.13,-1.5,-0.49,-0.21,-0.59,-0.97,-2.38,0.85,-1.21,-1.0,-0.18,-0.07,-0.1,-0.26,-0.91,0
0.21,-0.31,0.13,0.49,2.16,-0.21,-0.59,-0.95,-2.38,0.21,-0.65,0.48,-0.18,-0.07,-0.1,-0.26,0.32,0
0.21,-0.31,1.26,-0.17,-0.49,-0.21,-0.59,0.47,-2.38,0.85,1.61,0.48,-0.18,-0.07,-0.1,-1.07,-0.91,1
0.21,-0.31,0.13,-1.5,-0.49,-0.21,-0.59,-0.79,-2.38,0.85,-1.33,-1.0,-0.18,-0.07,-0.1,-0.89,-0.91,0
-1.68,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,0.81,0.42,1.17,1.05,-2.48,-0.18,-0.07,-0.1,-1.02,-0.91,0
0.21,-0.31,1.26,1.15,-0.49,-0.21,-0.59,-0.94,0.42,-1.38,0.48,-1.0,-0.18,-0.07,-0.1,-0.55,-0.91,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,-0.43,0.42,0.85,-0.31,-1.0,-0.18,-0.07,-0.1,-0.02,-0.91,0
0.21,-0.31,1.26,-0.83,2.16,-0.21,-0.59,0.93,0.42,-0.74,0.71,0.48,-0.18,-0.07,-0.1,-0.3,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,0.47,0.42,-1.06,1.38,0.48,-0.18,-0.07,-0.1,0.23,0.32,0
0.21,-0.31,0.13,-0.83,-0.49,-0.21,-0.59,-0.09,-2.38,0.53,0.59,-1.0,-0.18,-0.07,-0.1,-1.07,-0.91,0
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,1.37,-0.94,0.42,-0.74,0.37,-5.44,-0.18,-0.07,-0.1,0.11,-0.91,1
-1.68,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,-0.43,-2.38,1.17,-1.1,0.48,-0.18,-0.07,-0.1,-1.8,-0.91,1
0.21,-0.31,-0.99,-0.17,0.39,-0.21,-0.59,-0.15,-2.38,0.53,0.14,-1.0,-0.18,-0.07,-0.1,-0.63,-0.91,0
0.21,-0.31,0.13,-0.83,-0.49,-0.21,1.37,-0.92,-2.38,0.53,0.37,0.48,-0.18,-0.07,-0.1,1.9,0.32,0
0.21,-0.31,1.26,-0.17,-0.49,-0.21,-0.59,0.59,0.42,1.17,-0.31,0.48,-0.18,-0.07,-0.1,-0.48,0.32,0
-3.57,4.02,-0.99,0.49,-0.49,-0.21,0.06,-0.15,0.42,1.49,-0.99,0.48,-0.18,-0.07,-0.1,-0.61,0.32,0
0.21,-0.31,-0.99,-0.83,2.16,-0.21,-0.59,-0.94,0.42,-2.02,-0.76,0.48,-0.18,-0.07,-0.1,-0.96,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,0.08,0.42,0.85,-0.99,-1.0,-0.18,-0.07,-0.1,-0.53,-0.91,0
0.21,-0.31,-0.99,-0.83,2.16,4.77,-0.59,-0.63,0.42,-1.06,1.27,0.48,-0.18,-0.07,-0.1,0.25,0.32,0
-1.68,-0.31,1.26,-0.83,-0.49,-0.21,-0.59,-0.47,0.42,-0.42,0.37,0.48,-0.18,-0.07,-0.1,-0.65,-0.91,1
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,3.24,-2.38,0.85,0.14,-1.0,-0.18,-0.07,-0.1,-1.02,-0.91,0
0.21,-0.31,1.26,0.49,2.16,-0.21,-0.59,2.63,0.42,1.17,0.37,0.48,-0.18,-0.07,-0.1,-1.11,-0.91,1
0.21,-0.31,1.26,-0.83,-0.49,-0.21,1.37,1.74,0.42,-0.11,1.61,0.48,-0.18,-0.07,-0.1,0.43,0.32,1
0.21,-0.31,-0.99,1.15,-0.49,-0.21,-0.59,-0.04,0.42,1.17,-1.67,0.48,-0.18,-0.07,-0.1,-0.32,1.54,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.46,0.42,-0.42,0.59,0.48,-0.18,-0.07,-0.1,-0.1,0.32,0
2.1,-0.31,1.26,-0.83,-0.49,-0.21,-0.59,0.43,0.42,-1.06,-0.65,0.48,-0.18,-0.07,-0.1,0.43,0.32,0
0.21,-0.31,0.13,-0.83,2.16,-0.21,-0.59,-0.37,0.42,-0.42,1.27,0.48,-0.18,-0.07,-0.1,-0.2,0.32,1
0.21,-0.31,-0.99,1.15,-0.49,-0.21,1.37,-0.17,-2.38,1.17,0.25,-1.0,-0.18,-0.07,-0.1,-1.21,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,1.16,-2.38,1.49,1.5,-1.0,-0.18,-0.07,-0.1,-0.81,-0.91,0
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,-0.5,-2.38,1.17,0.48,-1.0,-0.18,-0.07,-0.1,-0.86,-0.91,0
0.21,-0.31,-0.99,-0.83,0.39,-0.21,-0.59,-0.17,0.42,-1.06,-1.1,-1.0,-0.18,-0.07,-0.1,-0.04,-0.91,0
0.21,-0.31,-0.99,1.15,2.16,-0.21,-0.59,-0.14,0.42,1.17,-1.67,0.48,-0.18,-0.07,-0.1,-0.7,0.32,0
-1.68,-0.31,0.13,0.49,-0.49,-0.21,1.37,-0.87,0.42,1.49,1.5,0.48,-0.18,-0.07,-0.1,0.53,1.54,0
-1.68,-0.31,1.26,1.81,2.16,-0.21,-0.59,0.84,0.42,-0.74,1.61,0.48,-0.18,-0.07,-0.1,-0.47,-0.91,0
0.21,-0.31,1.26,-0.17,0.39,-0.21,-0.59,1.49,0.42,-1.06,0.71,0.48,-0.18,-0.07,-0.1,0.01,-0.91,1
-1.68,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,-0.88,0.42,-0.74,0.03,0.48,-0.18,-0.07,-0.1,0.82,0.32,0
0.21,-0.31,-0.99,1.15,-0.49,-0.21,1.37,-0.23,-2.38,1.17,-0.54,-1.0,-0.18,-0.07,-0.1,-1.21,0.32,0
0.21,-0.31,0.13,-1.5,2.16,-0.21,-0.59,-0.78,0.42,-0.42,-0.31,0.48,-0.18,-0.07,-0.1,-0.44,1.54,0
0.21,-0.31,0.13,0.49,-0.49,-0.21,-0.59,0.49,0.42,-0.74,0.37,0.48,-0.18,-0.07,-0.1,0.8,0.32,0
0.21,-0.31,-0.99,-0.83,2.16,-0.21,-0.59,1.06,0.42,-0.11,1.38,0.48,-0.18,-0.07,-0.1,-0.3,0.32,0
0.21,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,0.74,0.42,1.49,1.16,0.48,-0.18,-0.07,-0.1,-0.32,1.54,0
0.21,-0.31,0.13,1.15,-0.49,-0.21,1.37,-0.4,0.42,-1.06,0.48,0.48,-0.18,-0.07,-0.1,0.39,-0.91,1
0.21,-0.31,-0.99,0.49,-0.49,-0.21,1.37,0.28,0.42,-1.06,-1.1,0.48,-0.18,-0.07,-0.1,-0.17,0.32,0
0.21,4.02,-0.99,-0.83,-0.49,4.77,2.67,-0.94,0.42,0.53,-1.55,0.48,-0.18,-0.07,-0.1,4.02,0.32,0
-1.68,-0.31,-0.99,0.49,-0.49,-0.21,1.37,-0.69,0.42,-0.74,-1.44,0.48,-0.18,-0.07,-0.1,0.38,1.54,0
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,1.83,0.42,-0.42,0.93,-1.0,-0.18,-0.07,-0.1,-0.28,-0.91,0
-1.68,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,-0.94,-2.38,0.53,-0.65,-3.96,-0.18,-0.07,-0.1,-2.79,0.32,0
0.21,-0.31,1.26,-0.83,-0.49,-0.21,-0.59,0.28,0.42,1.49,0.25,-1.0,-0.18,-0.07,-0.1,-0.81,-0.91,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,1.37,-0.53,0.42,0.85,-1.21,0.48,-0.18,-0.07,-0.1,1.37,1.54,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,1.37,1.64,0.42,-0.42,-1.44,0.48,-0.18,-0.07,-0.1,-0.21,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,1.37,-0.59,0.42,-1.06,-0.08,0.48,-0.18,-0.07,-0.1,0.96,-0.91,1
0.21,-0.31,-0.99,-0.83,-0.49,-0.21,-0.59,-0.17,0.42,-1.06,-1.1,-1.0,-0.18,-0.07,-0.1,-0.68,-0.91,0
0.21,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,0.11,0.42,-1.06,1.05,0.48,-0.18,-0.07,-0.1,-0.53,0.32,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,-0.59,1.12,0.42,0.21,1.05,-1.0,-0.18,-0.07,-0.1,-0.15,-0.91,0
0.21,-0.31,0.13,-1.5,2.16,-0.21,-0.59,-0.47,0.42,1.17,-0.2,0.48,-0.18,-0.07,-0.1,-0.47,1.54,0
0.21,-0.31,0.13,-0.83,-0.49,4.77,-0.59,-0.53,0.42,0.21,1.5,0.48,-0.18,-0.07,-0.1,0.45,0.32,0
0.21,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,1.61,0.42,-0.42,-1.44,0.48,-0.18,-0.07,-0.1,-0.15,-0.91,1
0.21,-0.31,1.26,0.49,-0.49,-0.21,1.37,-0.47,-2.38,0.85,1.05,-1.0,-0.18,-0.07,-0.1,-0.81,-0.91,0
0.21,-0.31,0.13,1.15,-0.49,-0.21,1.37,-0.71,0.42,-1.38,-0.76,0.48,-0.18,-0.07,-0.1,0.29,0.32,0
2.1,-0.31,0.13,-0.83,-0.49,-0.21,1.37,2.92,0.42,1.49,1.72,0.48,-0.18,-0.07,-0.1,0.42,-0.91,0
0.21,-0.31,0.13,-0.17,-0.49,-0.21,-0.59,-0.04,0.42,-0.42,1.27,0.48,-0.18,-0.07,-0.1,0.16,0.32,0
2.1,-0.31,1.26,1.81,-0.49,-0.21,1.37,1.29,0.42,-0.42,1.38,0.48,-0.18,-0.07,-0.1,0.42,1.54,1
0.21,-0.31,-0.99,1.81,-0.49,-0.21,-0.59,-0.3,0.42,-1.38,1.5,-1.0,-0.18,-0.07,-0.1,-0.81,0.32,0
0.21,4.02,-0.99,-0.17,-0.49,-0.21,2.67,0.24,0.42,-1.06,-1.67,0.48,-0.18,-0.07,-0.1,1.42,-0.91,1
0.21,-0.31,-0.99,1.81,-0.49,-0.21,1.37,0.9,0.42,0.85,-0.54,0.48,-0.18,-0.07,-0.1,0.7,-0.91,1
0.21,-0.31,1.26,-1.5,2.16,-0.21,-0.59,-0.68,0.42,1.49,1.05,0.48,-0.18,-0.07,-0.1,-0.47,1.54,0
0.21,-0.31,0.13,1.15,-0.49,-0.21,1.37,-0.39,0.42,-1.38,-0.2,0.48,-0.18,-0.07,-0.1,-0.18,-0.91,0
0.21,-0.31,0.13,-0.17,-0.49,4.77,1.37,-0.3,0.42,-1.38,-1.33,0.48,-0.18,-0.07,-0.1,-0.2,0.32,0
-1.68,-0.31,0.13,-1.5,-0.49,-0.21,-0.59,-0.95,0.42,0.85,0.14,0.48,-0.18,-0.07,-0.1,1.17,1.54,0
0.21,-0.31,1.26,0.49,2.16,-0.21,-0.59,1.89,0.42,0.53,-1.33,0.48,-0.18,-0.07,-0.1,-0.25,0.32,0
-1.68,-0.31,-0.99,-0.17,-0.49,-0.21,-0.59,1.77,0.42,-0.42,-0.08,0.48,-0.18,-0.07,-0.1,0.64,-0.91,1
0.21,-0.31,-0.99,-0.83,2.16,-0.21,-0.59,-0.72,0.42,1.49,-0.65,0.48,5.43,-0.07,2.31,-0.28,-0.91,0
0.21,-0.31,-0.99,0.49,-0.49,-0.21,2.02,1.16,0.42,0.21,-0.76,-1.0,-0.18,-0.07,-0.1,0.21,-0.91,0
0.21,-0.31,0.13,0.49,2.16,-0.21,-0.59,0.63,0.42,-0.74,-1.21,0.48,-0.18,-0.07,-0.1,-0.11,0.32,0
0.21,-0.31,0.13,-0.17,-0.49,4.77,-0.59,0.02,0.42,-1.38,0.25,0.48,-0.18,-0.07,-0.1,-0.01,-0.91,0
0.21,-0.31,1.26,-0.83,-0.49,-0.21,1.37,0.1,0.42,-1.06,-0.76,0.48,-0.18,-0.07,-0.1,0.27,0.32,0
